0, 1, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0002.png', 0.2505679720187983
1, 2, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0003.png', 0.2048159871504356
2, 3, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0004.png', 0.16843399668967465
3, 4, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0005.png', 0.13239805230972873
4, 5, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0006.png', 0.15390879872589908
5, 6, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0007.png', 0.14563303133572938
6, 7, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0008.png', 0.1422784591161221
7, 8, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0009.png', 0.09482735540173026
8, 9, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0010.png', 0.07817505496382303
9, 10, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0011.png', 0.32331423666130765
10, 11, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0012.png', 0.22252970409207773
11, 12, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0013.png', 0.17559797926901696
12, 13, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0014.png', 0.1580595488970501
13, 14, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0015.png', 0.12893586205263624
14, 15, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0016.png', 0.1448207351044381
15, 16, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0017.png', 0.1415562146253304
16, 17, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0018.png', 0.12848858225481177
17, 18, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0019.png', 0.14005970300186407
18, 19, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0020.png', 0.12629472123586288
19, 20, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0021.png', 0.1482981899581454
20, 21, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0022.png', 0.31069645666252704
21, 22, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0023.png', 0.22187646125554053
22, 23, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0024.png', 0.23769940240936763
23, 24, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0025.png', 0.1939869870055415
24, 25, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0026.png', 0.2011324627882628
25, 26, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0027.png', 0.22436272708057214
26, 27, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0028.png', 0.20557484194880102
27, 28, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0029.png', 0.23547238930636233
28, 29, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0030.png', 0.24753435006945165
29, 30, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0031.png', 0.2606029027275226
