0, 1, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0002.png', 0.3583945730687056
1, 2, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0003.png', 0.30428819568557114
2, 3, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0004.png', 0.2547417682191246
3, 4, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0005.png', 0.1876128325725738
4, 5, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0006.png', 0.13894598164736263
5, 6, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0007.png', 0.11245399137683688
6, 7, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0008.png', 0.11928352164564758
7, 8, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0009.png', 0.10172774558864012
8, 9, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0010.png', 0.07650525420663343
9, 10, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0011.png', 0.5066686298841941
10, 11, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0012.png', 0.3694188903107393
11, 12, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0013.png', 0.31069645666252704
12, 13, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0014.png', 0.24640229714126397
13, 14, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0015.png', 0.19497705711004606
14, 15, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0016.png', 0.16510821215995683
15, 16, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0017.png', 0.12554406711190005
16, 17, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0018.png', 0.10017644603061537
17, 18, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0019.png', 0.10097970331411908
18, 19, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0020.png', 0.095969062874824
19, 20, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0021.png', 0.07476771847299821
20, 21, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0022.png', 0.05525237064780402
21, 22, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0023.png', 0.07702448885754595
22, 23, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0024.png', 0.07511606525759364
23, 24, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0025.png', 0.06573435351517115
24, 25, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0026.png', 0.05412197507430938
25, 26, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0027.png', 0.056314925412372055
26, 27, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0028.png', 0.035772841192656404
27, 28, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0029.png', 0.014055486145585088
28, 29, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0030.png', 0.03701171736101008
29, 30, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0030.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0031.png', 0.05984328240634618
30, 31, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0031.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0032.png', 0.056314925412372055
31, 32, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0032.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0033.png', 0.04128046811908642
32, 33, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0033.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0034.png', 0.05544023279429881
33, 34, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0034.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0035.png', 0.06531373384099658
34, 35, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0035.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0036.png', 0.06972688608084397
35, 36, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0036.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0037.png', 0.07737013284320517
36, 37, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0037.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0038.png', 0.08228062642232184
37, 38, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0038.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0039.png', 0.07424440158445736
38, 39, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0039.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0040.png', 0.0788632436896536
39, 40, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0040.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0041.png', 0.06422900706448989
40, 41, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0041.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0042.png', 0.05475065807353417
41, 42, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0042.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0043.png', 0.04545402549654162
42, 43, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0043.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0044.png', 0.047475957009750304
43, 44, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0044.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0045.png', 0.04141436435183206
44, 45, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0045.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0046.png', 0.04228238206040315
45, 46, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0046.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0047.png', 0.08017783507827715
46, 47, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0047.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0048.png', 0.10081919999023181
47, 48, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0048.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0049.png', 0.06441011075336114
48, 49, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0049.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0050.png', 0.06404777602561151
49, 50, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0050.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0051.png', 0.04870550715713873
50, 51, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0051.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0052.png', 0.07043577046267269
51, 52, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0052.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0053.png', 0.07096623531220626
52, 53, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0053.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0054.png', 0.12413905586028914
53, 54, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0054.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0055.png', 0.12584449781150572
54, 55, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0055.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0056.png', 0.12494252652841731
55, 56, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0056.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0057.png', 0.11575569417867292
56, 57, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0057.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0058.png', 0.11209109978632843
57, 58, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0058.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0059.png', 0.14088101970906022
58, 59, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0059.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0060.png', 0.14237466665684886
59, 60, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0060.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0061.png', 0.15554566400178366
60, 61, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0061.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0062.png', 0.1309178425344664
61, 62, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0062.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0063.png', 0.1267444394818962
62, 63, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0063.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0064.png', 0.15736264238566633
63, 64, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0064.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0065.png', 0.174478655327185
64, 65, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0065.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0066.png', 0.1404947146880198
65, 66, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0066.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0067.png', 0.12181994839824029
66, 67, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0067.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0068.png', 0.1280408078526876
67, 68, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0068.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0069.png', 0.09531713311984358
68, 69, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0069.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0070.png', 0.10044440450949546
69, 70, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0070.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0071.png', 0.1488671953639618
70, 71, './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0071.png', './GTEA61/processed_frames2/S3/pour_honey,cup/1/mmaps/map0072.png', 0.11749809774847167
