0, 1, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', 6.2861307343115636
1, 2, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', 6.345526098509562
2, 3, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', 6.209125140782666
3, 4, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', 6.239858845726196
4, 5, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', 5.903576267031264
5, 6, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', 5.698978145997784
6, 7, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', 5.776492777651994
7, 8, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', 5.414988155060016
8, 9, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', 5.835293738993654
9, 10, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', 6.021627026455988
10, 11, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', 5.576988624872391
11, 12, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', 5.410166319754655
12, 13, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0014.png', 5.137896632527395
13, 14, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0015.png', 5.236688042716784
14, 15, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0016.png', 5.098303782559957
15, 16, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0017.png', 5.064845096860104
16, 17, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0018.png', 4.76275067543642
17, 18, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0019.png', 4.8246992534014375
18, 19, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0020.png', 4.1877228247705744
19, 20, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0021.png', 4.257869003552432
20, 21, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0022.png', 4.594949769260527
21, 22, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0023.png', 4.230541943714312
