0, 1, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0002.png', 5.255800177070579
1, 2, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0003.png', 5.411741983049631
2, 3, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0004.png', 5.095459128940356
3, 4, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0005.png', 5.096847638077076
4, 5, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0006.png', 5.169022328797071
5, 6, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0007.png', 4.998129287224857
6, 7, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0008.png', 4.558049161680901
7, 8, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0009.png', 4.309091066132575
8, 9, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0010.png', 4.335128347869192
9, 10, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0011.png', 4.589003184204579
10, 11, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0012.png', 4.768291755323832
11, 12, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0013.png', 4.5690830271584435
12, 13, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0014.png', 4.461017833556357
13, 14, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0015.png', 4.640306673241744
14, 15, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0016.png', 4.43229521953563
15, 16, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0017.png', 4.098361307249276
16, 17, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0018.png', 4.644216883039323
17, 18, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0019.png', 4.610612540531589
18, 19, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0020.png', 4.168885996310603
19, 20, './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/pour_water,cup/1/rgb/rgb0021.png', 4.410097483376141
