0, 1, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0002.png', 0.3876323057787061
1, 2, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0003.png', 0.3333532507707308
2, 3, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0004.png', 0.24542456017769476
3, 4, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0005.png', 0.21765211480083407
4, 5, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0006.png', 0.1667057088369371
5, 6, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0007.png', 0.16097500475579501
6, 7, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0008.png', 0.16656899392426586
7, 8, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0009.png', 0.16286248303205578
8, 9, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0010.png', 0.19230373650464527
9, 10, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0011.png', 0.5135708522227962
10, 11, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0012.png', 0.38000275266983147
11, 12, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0012.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0013.png', 0.3458839772555449
12, 13, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0013.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0014.png', 0.2881449045026804
13, 14, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0014.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0015.png', 0.2246066618539871
14, 15, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0015.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0016.png', 0.1950630589771048
15, 16, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0016.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0017.png', 0.25400970449500937
16, 17, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0017.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0018.png', 0.25238811230635694
17, 18, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0018.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0019.png', 0.2390471701064652
18, 19, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0019.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0020.png', 0.24589408589758135
19, 20, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0020.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0021.png', 0.3166218057451634
20, 21, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0021.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0022.png', 0.3171765349108215
21, 22, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0022.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0023.png', 0.24839163621598076
22, 23, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0023.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0024.png', 0.2410627234516569
23, 24, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0024.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0025.png', 0.2328361282023615
24, 25, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0025.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0026.png', 0.2084736047207998
25, 26, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0026.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0027.png', 0.19921683063094617
26, 27, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0027.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0028.png', 0.21600256851292285
27, 28, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0028.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0029.png', 0.2503351928673459
28, 29, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0029.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0030.png', 0.23738180485244287
29, 30, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0030.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0031.png', 0.20206640833204464
30, 31, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0031.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0032.png', 0.198960872726719
31, 32, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0032.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0033.png', 0.19938739835009792
32, 33, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0033.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0034.png', 0.21102299780579165
33, 34, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0034.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0035.png', 0.14881980630547625
34, 35, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0035.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0036.png', 0.11467550533614673
35, 36, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0036.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0037.png', 0.11364387644564666
36, 37, './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0037.png', './GTEA61/processed_frames2/S3/put_bread,bread/2/mmaps/map0038.png', 0.11271298388674555
