0, 1, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0002.png', 5.459649010298477
1, 2, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0003.png', 5.287993390169916
2, 3, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0004.png', 6.040513734069229
3, 4, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0005.png', 6.151870850261246
4, 5, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0006.png', 5.766383826358115
5, 6, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0007.png', 4.966895142279589
6, 7, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0008.png', 5.481678501709579
7, 8, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0009.png', 5.384299797571562
8, 9, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0010.png', 4.707134288715066
9, 10, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0011.png', 5.270541082825778
10, 11, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0012.png', 5.179291103329283
11, 12, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0013.png', 4.344836127547095
12, 13, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0014.png', 4.551644411210332
13, 14, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0015.png', 4.750760800611201
14, 15, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0016.png', 4.970272243030535
15, 16, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0017.png', 4.676813347354645
16, 17, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0018.png', 4.532394450734857
17, 18, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0019.png', 4.235742757555986
18, 19, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0020.png', 4.763952568430056
19, 20, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0021.png', 4.319738287557342
20, 21, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0022.png', 4.871742208107678
21, 22, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0023.png', 4.842062586726036
22, 23, './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/put_bread,cheese,bread/1/rgb/rgb0024.png', 4.684404581880655
