0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0002.png', 0.4323240438878315
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0003.png', 0.3838757579228076
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0004.png', 0.3670567793790088
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0005.png', 0.2835821677084355
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0006.png', 0.28215137774832766
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0007.png', 0.21164801154149246
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0008.png', 0.20401377065231374
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0009.png', 0.14663436921937031
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0010.png', 0.19351279087464449
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0011.png', 0.568761704117672
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0012.png', 0.4278082237436162
11, 12, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0013.png', 0.3569012507664656
12, 13, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0014.png', 0.3533811258213954
13, 14, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0015.png', 0.3409019917651796
14, 15, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0016.png', 0.3237600984706783
15, 16, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0017.png', 0.25103324383089404
16, 17, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0018.png', 0.22817184548971353
17, 18, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0019.png', 0.2081383383444605
18, 19, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0020.png', 0.1975080250176726
19, 20, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0021.png', 0.21181455695677187
20, 21, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0022.png', 0.16097500475579501
21, 22, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0023.png', 0.048253352733437636
22, 23, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0024.png', 0.0644704504237785
23, 24, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0025.png', 0.03946334863573304
24, 25, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0026.png', 0.05056856415214449
25, 26, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0027.png', 0.24839163621598076
26, 27, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0028.png', 0.2869073061093805
27, 28, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0029.png', 0.27535379000677884
28, 29, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/1/mmaps/map0030.png', 0.30198299640732035
