0, 1, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0002.png', 5.9333122164300685
1, 2, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0003.png', 5.633264192663598
2, 3, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0004.png', 5.625254422512119
3, 4, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0005.png', 5.621858105276359
4, 5, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0006.png', 5.4615570780816505
5, 6, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0007.png', 5.704943892656751
6, 7, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0008.png', 5.697927112516168
7, 8, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0009.png', 5.264560037599979
8, 9, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0010.png', 5.214071704059081
9, 10, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0011.png', 5.252625779731833
10, 11, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0012.png', 5.239369219398
11, 12, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0013.png', 4.674318655916044
12, 13, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0014.png', 4.891666885571992
13, 14, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0015.png', 4.967508387166666
14, 15, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0016.png', 5.051998131644339
15, 16, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0017.png', 5.42163543640559
16, 17, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0018.png', 4.972651108105747
17, 18, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0019.png', 4.613583285927691
18, 19, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0020.png', 4.940308156006771
19, 20, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0021.png', 4.618325262293254
20, 21, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0022.png', 4.617792481901406
21, 22, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0023.png', 5.005159419028102
22, 23, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0024.png', 4.736324163446247
23, 24, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0025.png', 4.658130884653148
24, 25, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0026.png', 5.0856807985724695
25, 26, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0027.png', 5.683847455227792
26, 27, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0028.png', 5.908986227945849
27, 28, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0029.png', 5.820478334819749
28, 29, './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/scoop_sugar,spoon/3/rgb/rgb0030.png', 5.957676488296806
