0, 1, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0002.png', 5.34761686361981
1, 2, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0003.png', 5.401302290216944
2, 3, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0004.png', 5.414504390681289
3, 4, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0005.png', 5.3880171094183265
4, 5, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0006.png', 5.281180901140657
5, 6, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0007.png', 5.249578039206361
6, 7, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0008.png', 5.326580439808684
7, 8, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0009.png', 5.406241596521645
8, 9, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0010.png', 5.229861453563661
9, 10, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0011.png', 5.448085777393414
10, 11, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0012.png', 5.4357996458396824
