0, 1, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0002.png', 0.3205633208111985
1, 2, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0003.png', 0.2641744418842802
2, 3, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0004.png', 0.23678581898114642
3, 4, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0005.png', 0.2064167196566569
4, 5, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0006.png', 0.20721524768280952
5, 6, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0007.png', 0.2135601242538568
6, 7, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0008.png', 0.21699290777124577
7, 8, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0009.png', 0.23654724514370723
8, 9, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0010.png', 0.24589408589758135
9, 10, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0011.png', 0.5078712719562415
10, 11, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/2/mmaps/map0012.png', 0.36519917118294354
