0, 1, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0002.png', 0.47911867321460455
1, 2, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0003.png', 0.37601125226238513
2, 3, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0004.png', 0.3333870050866863
3, 4, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0005.png', 0.3197356341636227
4, 5, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0006.png', 0.31443264988355835
5, 6, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0007.png', 0.3201496172244022
6, 7, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0008.png', 0.2889806465043119
7, 8, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0009.png', 0.26132659593333896
8, 9, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0010.png', 0.27009096269788907
9, 10, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0011.png', 0.7264889514956631
10, 11, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0012.png', 0.5940865931233759
11, 12, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0013.png', 0.3866720100297363
12, 13, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0014.png', 0.3327791453107507
13, 14, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0015.png', 0.3148502375930366
14, 15, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0016.png', 0.30922362205626197
15, 16, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/mmaps/map0017.png', 0.2892347701942052
