0, 1, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0002.png', 5.652345561668606
1, 2, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0003.png', 5.750084282617501
2, 3, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0004.png', 5.590733884708278
3, 4, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0005.png', 5.608680650377988
4, 5, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0006.png', 5.6410112223155995
5, 6, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0007.png', 5.4594527879400365
6, 7, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0008.png', 5.270476321179963
7, 8, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0009.png', 5.551953821982928
8, 9, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0010.png', 5.443837179684068
9, 10, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0011.png', 5.547602754006537
10, 11, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0012.png', 5.568292284337164
11, 12, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0013.png', 5.565867839031345
12, 13, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0014.png', 5.488424817621305
13, 14, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0015.png', 5.096806209012571
14, 15, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0016.png', 5.015513430711403
15, 16, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0017.png', 4.993295392876211
16, 17, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0018.png', 5.170046584541147
