0, 1, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', 6.009860104809574
1, 2, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0003.png', 5.954851699290973
2, 3, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0004.png', 5.790553602641826
3, 4, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0005.png', 5.548507850231616
4, 5, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0006.png', 5.525076094453666
5, 6, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0007.png', 5.349195873366637
6, 7, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0008.png', 5.310839054177418
7, 8, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0009.png', 5.103107395552974
8, 9, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0010.png', 4.746124555557565
9, 10, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0011.png', 4.617951489830961
10, 11, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0012.png', 4.710796728041645
11, 12, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0013.png', 4.687686874261096
12, 13, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0014.png', 4.764558317271301
13, 14, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0015.png', 4.305690556416096
14, 15, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0016.png', 4.188713527525917
15, 16, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0017.png', 4.553056366563972
16, 17, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0018.png', 4.968084176226854
17, 18, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0019.png', 4.96399989092381
18, 19, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0020.png', 4.977980582168116
19, 20, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0021.png', 5.0155318896672565
20, 21, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0022.png', 5.278931980382771
21, 22, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0023.png', 5.413077335096743
22, 23, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0024.png', 5.428763512569798
