0, 1, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0002.png', 5.459324925540231
1, 2, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0003.png', 5.309163229562598
2, 3, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0004.png', 5.248650654876287
3, 4, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0005.png', 5.0842782818211285
4, 5, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0006.png', 4.975318787410955
5, 6, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0007.png', 4.821176821358468
6, 7, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0008.png', 4.878570046681409
7, 8, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0009.png', 4.831001937126903
8, 9, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0010.png', 4.6194957030800685
9, 10, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0011.png', 4.306138398712129
10, 11, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0012.png', 4.3630159029681455
11, 12, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0013.png', 4.440530084545025
12, 13, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0014.png', 4.345609967467741
13, 14, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0015.png', 4.455298781911656
14, 15, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0016.png', 4.426410413376166
15, 16, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0017.png', 4.453281770345135
16, 17, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0018.png', 4.675667155418196
17, 18, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0019.png', 4.922342269129874
