0, 1, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0002.png', 6.193085580382454
1, 2, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0003.png', 5.9733449125371285
2, 3, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0004.png', 5.817112110245334
3, 4, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0005.png', 5.71063481378666
4, 5, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0006.png', 5.615864916432608
5, 6, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0007.png', 5.569587283800252
6, 7, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0008.png', 5.417667556574144
7, 8, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0009.png', 5.003165480768991
8, 9, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0010.png', 4.7181108112811865
9, 10, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0011.png', 5.038008972456506
10, 11, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0012.png', 5.048878121925785
11, 12, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0013.png', 5.166931794229025
12, 13, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0014.png', 5.021227929198576
13, 14, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0015.png', 5.067199779399989
14, 15, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0016.png', 5.210957092259117
15, 16, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0017.png', 5.085054452023263
16, 17, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0018.png', 5.5347808731355785
17, 18, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0019.png', 5.873525240346095
18, 19, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0020.png', 5.760445091997969
19, 20, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0021.png', 5.680588845004917
20, 21, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0022.png', 5.821482330853577
21, 22, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0023.png', 5.848367943148415
22, 23, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0024.png', 5.814191880600674
23, 24, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0025.png', 5.636571849284558
24, 25, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0026.png', 5.597593031322454
25, 26, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0027.png', 5.273744601812409
26, 27, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0028.png', 5.34370349733826
27, 28, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0029.png', 5.1767894055705135
28, 29, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0030.png', 5.939884261215547
29, 30, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0031.png', 6.049127568706253
30, 31, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0032.png', 5.964648307717693
31, 32, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0033.png', 5.900013990079023
32, 33, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0034.png', 5.806642202233644
33, 34, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0035.png', 5.974313444169261
34, 35, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0036.png', 6.020495428482177
35, 36, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0037.png', 5.977947180438824
36, 37, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0038.png', 5.750047377942005
37, 38, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0039.png', 5.687777105739427
38, 39, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0040.png', 5.7277753034280945
39, 40, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0041.png', 5.644075376445568
40, 41, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0042.png', 5.428708246059947
41, 42, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0043.png', 5.6456709327747525
42, 43, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0044.png', 5.689016344604247
43, 44, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0045.png', 5.517943687997342
44, 45, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0046.png', 5.858726811930513
45, 46, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0047.png', 6.005357647196073
46, 47, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0048.png', 6.006038096633482
47, 48, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0049.png', 5.81097264615294
48, 49, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0050.png', 5.656952492571047
49, 50, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0051.png', 5.625119926607506
50, 51, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0052.png', 5.724994059744049
51, 52, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0053.png', 6.185248119979337
52, 53, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0054.png', 6.578333144083899
53, 54, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0055.png', 6.333502267017776
54, 55, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0056.png', 6.238286194318065
55, 56, './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S4/put_bread,bread/1/rgb/rgb0057.png', 6.00700323323466
