0, 1, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0002.png', 0.15498512261138092
1, 2, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0003.png', 0.12439031501078202
2, 3, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0004.png', 0.11734467520617478
3, 4, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0005.png', 0.11016704945054177
4, 5, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0006.png', 0.10938416586404426
5, 6, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0007.png', 0.09915631070608615
6, 7, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0008.png', 0.0725515639115144
7, 8, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0009.png', 0.07552193645758982
8, 9, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0010.png', 0.06800608033580219
9, 10, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0011.png', 0.16816153070405662
10, 11, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0012.png', 0.12878682361225333
11, 12, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0013.png', 0.14237466665684886
12, 13, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0014.png', 0.09482735540173026
13, 14, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0015.png', 0.1391398822380574
14, 15, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0016.png', 0.11105231299343442
15, 16, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0017.png', 0.08900366729760585
16, 17, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0018.png', 0.057372695205271794
17, 18, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0019.png', 0.061252633100958805
18, 19, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0020.png', 0.0678274373652294
19, 20, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0021.png', 0.05643961519968757
