0, 1, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0002.png', 5.179773221059139
1, 2, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0003.png', 5.418346598793736
2, 3, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0004.png', 5.494940971671192
3, 4, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0005.png', 5.258615300624367
4, 5, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0006.png', 5.315525872868425
5, 6, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0007.png', 5.447270723781637
6, 7, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0008.png', 5.5337441406112555
7, 8, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0009.png', 5.229360826745034
8, 9, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0010.png', 5.27841127470085
9, 10, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0011.png', 5.008673046144371
10, 11, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0012.png', 5.239400759964481
11, 12, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0013.png', 4.736637327759553
12, 13, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0014.png', 5.388241364954688
13, 14, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0015.png', 5.606150738944645
14, 15, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0016.png', 5.547071050632979
15, 16, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0017.png', 5.68867731410065
16, 17, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0018.png', 5.360738653149964
17, 18, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0019.png', 5.125330503799128
18, 19, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0020.png', 4.833024095797814
19, 20, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0021.png', 5.230480381713428
20, 21, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0022.png', 5.422489451433683
21, 22, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0023.png', 5.593190963957261
22, 23, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0024.png', 5.4275768430750295
23, 24, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0025.png', 5.327615344408041
24, 25, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0026.png', 5.01629102937234
25, 26, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0027.png', 5.119177123549559
26, 27, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0028.png', 5.160145625020662
27, 28, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0029.png', 5.555073979952237
28, 29, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0030.png', 5.442771590711256
29, 30, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0031.png', 5.171525060034617
30, 31, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0032.png', 4.634484588596879
31, 32, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0033.png', 4.773187644511802
32, 33, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0034.png', 5.272414327087421
33, 34, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0035.png', 5.350516223868249
34, 35, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0036.png', 5.546489204003689
35, 36, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0037.png', 5.54233860227496
36, 37, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0038.png', 5.035395769950956
37, 38, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0039.png', 5.283779030858268
38, 39, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0040.png', 5.222384805964887
39, 40, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0041.png', 4.980775323516218
40, 41, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0042.png', 5.345979619170668
41, 42, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0043.png', 5.693797375864743
42, 43, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0044.png', 5.802639417690502
43, 44, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0045.png', 5.260007759501273
44, 45, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0046.png', 5.766997427318507
45, 46, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0047.png', 5.710149193505437
46, 47, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0048.png', 5.2597203666135925
47, 48, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0049.png', 5.245336046571954
48, 49, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0050.png', 5.199826996796313
49, 50, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0051.png', 4.836390453292
50, 51, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0052.png', 4.682306685389493
51, 52, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0053.png', 5.330496807396727
52, 53, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0053.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0054.png', 5.098477936335167
53, 54, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0054.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0055.png', 4.817455156651889
54, 55, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0055.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0056.png', 5.125443300104883
55, 56, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0056.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0057.png', 5.047056320606972
56, 57, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0057.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0058.png', 5.12996563469968
57, 58, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0058.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0059.png', 5.4911326104170115
58, 59, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0059.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0060.png', 5.444935153002503
59, 60, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0060.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0061.png', 5.08937954685359
60, 61, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0061.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0062.png', 5.271196052572279
61, 62, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0062.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0063.png', 5.236999161874044
62, 63, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0063.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0064.png', 5.467065283471032
63, 64, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0064.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/3/rgb/rgb0065.png', 5.564896117196202
