0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0002.png', 5.3531341119104106
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0003.png', 5.221804312707268
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0004.png', 5.088605923654167
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0005.png', 4.8878120204009345
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0006.png', 4.923472363346107
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0007.png', 4.847279321693682
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0008.png', 5.1428577110877685
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0009.png', 4.9993217410613955
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0010.png', 5.17074080601224
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0011.png', 4.714544684174503
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0012.png', 5.06284856642604
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0013.png', 5.052860111857025
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0014.png', 4.691292064208204
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0015.png', 5.012048613751497
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0016.png', 4.869620446411506
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0017.png', 4.867546909199189
16, 17, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0018.png', 4.939136735580895
17, 18, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0019.png', 5.25150159462753
18, 19, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0020.png', 5.369185066373233
19, 20, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0021.png', 4.7744536494891
20, 21, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0022.png', 4.9167058943591915
21, 22, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0023.png', 4.793779641581178
22, 23, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0024.png', 5.288515958541984
23, 24, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/rgb/rgb0025.png', 5.26662778345914
